Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
CA,ANAHEIM UNION HIGH,CA,HOPE SPECIAL EDUCATION CENTER,060263000175,2009,Took SAT or ACT during school year,M,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,HOPE SPECIAL EDUCATION CENTER,060263000175,2009,Took SAT or ACT during school year,F,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,HOPE SPECIAL EDUCATION CENTER,060263000175,2009,Total Enrollment (Secondary Schools),M,0.00,30.00,,,70.00,10.00,50.00,,160.00,160.00,50.00
CA,ANAHEIM UNION HIGH,CA,HOPE SPECIAL EDUCATION CENTER,060263000175,2009,Total Enrollment (Secondary Schools),F,0.00,15.00,,,45.00,5.00,20.00,,80.00,80.00,30.00
CA,ANAHEIM UNION HIGH,CA,KATELLA HIGH,060263000176,2009,Took SAT or ACT during school year,M,0.00,10.00,,,40.00,0.00,10.00,,60.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,KATELLA HIGH,060263000176,2009,Took SAT or ACT during school year,F,0.00,15.00,,,65.00,5.00,5.00,,95.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,KATELLA HIGH,060263000176,2009,Total Enrollment (Secondary Schools),M,5.00,85.00,,,1100.00,20.00,145.00,,1355.00,160.00,375.00
CA,ANAHEIM UNION HIGH,CA,KATELLA HIGH,060263000176,2009,Total Enrollment (Secondary Schools),F,5.00,65.00,,,1040.00,20.00,110.00,,1240.00,95.00,280.00
CA,ANAHEIM UNION HIGH,CA,JOHN F. KENNEDY HIGH,060263000177,2009,Took SAT or ACT during school year,M,0.00,80.00,,,10.00,5.00,20.00,,115.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,JOHN F. KENNEDY HIGH,060263000177,2009,Took SAT or ACT during school year,F,0.00,70.00,,,20.00,5.00,30.00,,130.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,JOHN F. KENNEDY HIGH,060263000177,2009,Total Enrollment (Secondary Schools),M,5.00,430.00,,,365.00,60.00,325.00,,1185.00,115.00,130.00
CA,ANAHEIM UNION HIGH,CA,JOHN F. KENNEDY HIGH,060263000177,2009,Total Enrollment (Secondary Schools),F,5.00,425.00,,,380.00,65.00,320.00,,1200.00,60.00,90.00
CA,ANAHEIM UNION HIGH,CA,LOARA HIGH,060263000180,2009,Took SAT or ACT during school year,M,0.00,35.00,,,35.00,0.00,15.00,,90.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,LOARA HIGH,060263000180,2009,Took SAT or ACT during school year,F,0.00,10.00,,,65.00,0.00,20.00,,100.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,LOARA HIGH,060263000180,2009,Total Enrollment (Secondary Schools),M,5.00,205.00,,,930.00,30.00,200.00,,1370.00,185.00,370.00
CA,ANAHEIM UNION HIGH,CA,LOARA HIGH,060263000180,2009,Total Enrollment (Secondary Schools),F,5.00,160.00,,,920.00,30.00,195.00,,1310.00,95.00,295.00
CA,ANAHEIM UNION HIGH,CA,MAGNOLIA HIGH,060263000182,2009,Took SAT or ACT during school year,M,0.00,35.00,,,30.00,0.00,5.00,,70.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,MAGNOLIA HIGH,060263000182,2009,Took SAT or ACT during school year,F,0.00,20.00,,,40.00,5.00,10.00,,75.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,MAGNOLIA HIGH,060263000182,2009,Total Enrollment (Secondary Schools),M,0.00,165.00,,,820.00,25.00,130.00,,1145.00,150.00,355.00
CA,ANAHEIM UNION HIGH,CA,MAGNOLIA HIGH,060263000182,2009,Total Enrollment (Secondary Schools),F,0.00,145.00,,,745.00,35.00,110.00,,1035.00,80.00,225.00
CA,ANAHEIM UNION HIGH,CA,SAVANNA HIGH,060263000187,2009,Took SAT or ACT during school year,M,0.00,25.00,,,20.00,5.00,10.00,,60.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,SAVANNA HIGH,060263000187,2009,Took SAT or ACT during school year,F,0.00,15.00,,,35.00,5.00,10.00,,70.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,SAVANNA HIGH,060263000187,2009,Total Enrollment (Secondary Schools),M,5.00,175.00,,,760.00,70.00,180.00,,1190.00,170.00,300.00
CA,ANAHEIM UNION HIGH,CA,SAVANNA HIGH,060263000187,2009,Total Enrollment (Secondary Schools),F,5.00,150.00,,,775.00,40.00,145.00,,1115.00,100.00,250.00
CA,ANAHEIM UNION HIGH,CA,WESTERN HIGH,060263000192,2009,Took SAT or ACT during school year,M,0.00,20.00,,,20.00,5.00,10.00,,55.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,WESTERN HIGH,060263000192,2009,Took SAT or ACT during school year,F,0.00,25.00,,,40.00,5.00,20.00,,90.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,WESTERN HIGH,060263000192,2009,Total Enrollment (Secondary Schools),M,5.00,235.00,,,625.00,70.00,220.00,,1150.00,140.00,210.00
CA,ANAHEIM UNION HIGH,CA,WESTERN HIGH,060263000192,2009,Total Enrollment (Secondary Schools),F,5.00,215.00,,,645.00,50.00,185.00,,1100.00,65.00,185.00
CA,ANAHEIM UNION HIGH,CA,OXFORD HIGH,060263007580,2009,Took SAT or ACT during school year,M,0.00,60.00,,,5.00,0.00,10.00,,75.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,OXFORD HIGH,060263007580,2009,Took SAT or ACT during school year,F,0.00,65.00,,,10.00,0.00,10.00,,85.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,OXFORD HIGH,060263007580,2009,Total Enrollment (Secondary Schools),M,0.00,390.00,,,70.00,5.00,60.00,,525.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,OXFORD HIGH,060263007580,2009,Total Enrollment (Secondary Schools),F,0.00,425.00,,,90.00,5.00,80.00,,605.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,POLARIS HIGH (ALTER.),060263008115,2009,Took SAT or ACT during school year,M,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,POLARIS HIGH (ALTER.),060263008115,2009,Took SAT or ACT during school year,F,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,POLARIS HIGH (ALTER.),060263008115,2009,Total Enrollment (Secondary Schools),M,0.00,0.00,,,45.00,5.00,40.00,,95.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,POLARIS HIGH (ALTER.),060263008115,2009,Total Enrollment (Secondary Schools),F,0.00,5.00,,,45.00,5.00,60.00,,115.00,0.00,5.00
CA,ANAHEIM UNION HIGH,CA,ANAHEIM COMMUNITY DAY,060263010982,2009,Took SAT or ACT during school year,M,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,ANAHEIM COMMUNITY DAY,060263010982,2009,Took SAT or ACT during school year,F,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00,0.00
CA,ANAHEIM UNION HIGH,CA,ANAHEIM COMMUNITY DAY,060263010982,2009,Total Enrollment (Secondary Schools),M,0.00,0.00,,,50.00,10.00,15.00,,80.00,30.00,25.00
CA,ANAHEIM UNION HIGH,CA,ANAHEIM COMMUNITY DAY,060263010982,2009,Total Enrollment (Secondary Schools),F,0.00,5.00,,,10.00,5.00,0.00,,20.00,0.00,0.00
CA,CULVER CITY UNIFIED,CA,CULVER PARK CONTINUATION HIGH,061026007691,2009,Took SAT or ACT during school year,M,0.00,,0.00,0.00,5.00,0.00,5.00,0.00,10.00,0.00,0.00
CA,CULVER CITY UNIFIED,CA,CULVER PARK CONTINUATION HIGH,061026007691,2009,Took SAT or ACT during school year,F,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
CA,CULVER CITY UNIFIED,CA,CULVER PARK CONTINUATION HIGH,061026007691,2009,Total Enrollment (Secondary Schools),M,0.00,,0.00,0.00,25.00,5.00,5.00,0.00,40.00,0.00,10.00
